	gene	group	pval
120	ABHD11	StableCOPD	0.39635093682950395
121	ABHD11-AS1	AECOPD	0.017144185862283057
122	ABHD11-AS1	StableCOPD	0.30396819131789854
123	ABHD12	AECOPD	0.3700705398082029
124	ABHD12	StableCOPD	0.9788319627283406
125	ABHD12B	StableCOPD	0.07950383940080585
126	ABHD13	AECOPD	0.0007725344381923627
127	ABHD13	StableCOPD	0.4358793766997784
128	ABHD14A	AECOPD	0.5271508166434322
129	ABHD14A	StableCOPD	0.9999466295174805
130	ABHD14A-ACY1	AECOPD	0.21361609495858402
131	ABHD14A-ACY1	StableCOPD	0.21136477223282524
132	ABHD14B	AECOPD	0.9204130105234085
133	ABHD14B	StableCOPD	0.9511325865992075
134	ABHD15	AECOPD	0.00943676760392509
135	ABHD15	StableCOPD	0.16571540426280862
136	ABHD16A	AECOPD	0.1883605967663402
137	ABHD16A	StableCOPD	0.10688151852851546
138	ABHD16B	AECOPD	0.36987440929972937
139	ABHD16B	StableCOPD	0.2807178645596645
140	ABHD17A	AECOPD	0.017548116397893554
141	ABHD17A	StableCOPD	0.06648668137302272
142	ABHD17B	AECOPD	0.0005818668653676529
143	ABHD17B	StableCOPD	0.0025330168468036263
144	ABHD17C	AECOPD	0.42470150938206985
145	ABHD17C	StableCOPD	0.8960518078254214
146	ABHD2	AECOPD	0.000917259458396269
147	ABHD2	StableCOPD	0.02129988597832455
148	ABHD3	AECOPD	0.22012083179248187
149	ABHD3	StableCOPD	0.3364224064115965
150	ABHD4	AECOPD	0.5178587055916006
151	ABHD4	StableCOPD	0.6662742725451747
152	ABHD5	AECOPD	0.1245456141017266
153	ABHD5	StableCOPD	0.18628914318103484
154	ABHD6	AECOPD	0.06006805774182011
155	ABHD6	StableCOPD	0.08305170432597342
156	ABHD8	AECOPD	0.004927699765815197
157	ABHD8	StableCOPD	0.06151620886226017
158	ABI1	AECOPD	0.6067494067466439
159	ABI1	StableCOPD	0.3312709145631497
160	ABI2	AECOPD	0.0535546808730446
161	ABI2	StableCOPD	0.047443960528361195
162	ABI3	AECOPD	0.00021825709146483518
163	ABI3	StableCOPD	0.1058590572371143
164	ABL1	AECOPD	0.6226706877968776
165	ABL1	StableCOPD	0.5934351352435474
166	ABL2	AECOPD	0.1330454469474176
167	ABL2	StableCOPD	0.7449909698539254
168	ABLIM1	AECOPD	0.7316727834893597
169	ABLIM1	StableCOPD	0.9905358028600452
170	ABLIM2	AECOPD	0.09457913672443874
171	ABLIM2	StableCOPD	0.7301378755339802
172	ABLIM3	AECOPD	0.10647654864267186
173	ABLIM3	StableCOPD	0.2956649485602141
174	ABO	AECOPD	0.604109930134991
175	ABO	StableCOPD	0.5161726118764347
176	ABR	AECOPD	0.011541059815890486
177	ABR	StableCOPD	0.002497938803078359
